ID,municipi,participacio,sisi,sino,siblanc,no,blanc,altres,vots,poblacio
171621,Sant Ferriol,39.90%,92.21%,2.60%,0.00%,3.90%,1.30%,0.00%,77,193
171637,Sant Gregori,66.97%,92.02%,3.04%,0.71%,1.25%,0.71%,2.28%,1843,2752
171642,Sant Hilari Sacalm,58.61%,90.92%,3.62%,0.81%,2.11%,0.42%,2.11%,2842,4849
171655,Sant Jaume de Llierca,64.47%,90.44%,2.67%,1.56%,0.67%,0.89%,3.78%,450,698
171668,Sant Jordi Desvalls,65.42%,94.56%,1.30%,0.78%,0.52%,0.00%,2.85%,386,590
171674,Sant Joan de les Abadesses,63.36%,90.77%,3.06%,1.00%,1.42%,0.63%,3.11%,1897,2994
171680,Sant Joan de Mollet,66.20%,90.49%,2.82%,0.70%,1.06%,0.70%,4.23%,284,429
171693,Sant Julià de Ramis,52.14%,86.56%,6.22%,0.64%,3.25%,0.64%,2.69%,1414,2712
171707,Vallfogona de Ripollès,72.16%,95.00%,2.14%,0.71%,0.71%,1.43%,0.00%,140,194
171714,Sant Llorenç de la Muga,53.00%,84.35%,2.61%,1.74%,4.35%,1.74%,5.22%,115,217
171729,Sant Martí de Llémena,60.35%,93.53%,2.59%,0.97%,0.97%,0.32%,1.62%,309,512
171735,Sant Martí Vell,67.88%,91.60%,4.58%,1.53%,0.76%,0.00%,1.53%,131,193
171740,Sant Miquel de Campmajor,60.42%,89.66%,3.45%,2.59%,0.86%,1.72%,1.72%,116,192
171753,Sant Miquel de Fluvià,30.61%,71.84%,4.85%,3.40%,6.31%,2.91%,10.68%,206,673
171766,Sant Mori,47.10%,89.04%,1.37%,0.00%,8.22%,1.37%,0.00%,73,155
171772,Sant Pau de Segúries,67.06%,89.17%,1.26%,3.53%,1.26%,1.76%,3.02%,397,592
171788,Sant Pere Pescador,40.44%,88.36%,3.56%,1.37%,2.19%,0.68%,3.84%,730,1805
171805,Santa Coloma de Farners,47.78%,91.28%,4.07%,0.96%,1.62%,0.45%,1.62%,4888,10231
171812,Santa Cristina d'Aro,40.36%,83.38%,7.54%,0.77%,4.45%,0.65%,3.20%,1685,4175
171827,Santa Llogaia d'Àlguema,32.26%,75.56%,10.00%,1.11%,4.44%,0.00%,8.89%,90,279
171833,Sant Aniol de Finestres,59.80%,97.74%,0.00%,0.00%,1.13%,0.00%,1.13%,177,296
171848,Santa Pau,72.77%,92.45%,2.21%,1.31%,1.01%,1.21%,1.81%,994,1366
171851,Sant Joan les Fonts,62.72%,91.44%,3.32%,1.92%,0.89%,0.26%,2.17%,1566,2497
171864,Sarrià de Ter,50.34%,84.92%,7.37%,0.83%,3.17%,0.68%,3.03%,2049,4070
171870,Saus. Camallera i Llampaies,68.40%,84.98%,8.74%,2.02%,1.57%,0.67%,2.02%,446,652
171886,Selva de Mar. la,78.44%,91.60%,1.53%,0.76%,3.82%,0.76%,1.53%,131,167
171899,Cellera de Ter. la,72.51%,94.57%,1.92%,0.72%,1.20%,0.40%,1.20%,1253,1728
171903,Serinyà,63.79%,92.53%,4.17%,0.69%,1.39%,0.52%,0.69%,576,903
171910,Serra de Daró,72.09%,91.13%,4.03%,0.81%,0.00%,0.81%,3.23%,124,172
171925,Setcases,63.58%,87.27%,9.09%,0.91%,0.00%,0.00%,2.73%,110,173
171931,Sils,39.01%,84.86%,6.29%,1.34%,3.12%,1.00%,3.40%,1796,4604
171946,Susqueda,41.30%,92.11%,5.26%,0.00%,0.00%,2.63%,0.00%,38,92
171959,Tallada d'Empordà. la,63.09%,90.46%,5.81%,0.00%,1.66%,0.83%,1.24%,241,382
171962,Terrades,58.33%,87.97%,4.51%,0.00%,5.26%,1.50%,0.75%,133,228
171978,Torrent,64.81%,85.71%,3.81%,0.95%,3.81%,2.86%,2.86%,105,162
171984,Torroella de Fluvià,37.24%,87.34%,3.93%,1.75%,3.93%,0.44%,2.62%,229,615
