ID,municipi,participacio,sisi,sino,siblanc,no,blanc,altres,vots,poblacio
251044,Granyena de Segarra,67.50%,86.42%,6.17%,1.23%,2.47%,1.23%,2.47%,81,120
251057,Granyena de les Garrigues,56.60%,78.89%,5.56%,2.22%,8.89%,3.33%,1.11%,90,159
251095,Guimerà,63.67%,92.09%,3.95%,1.13%,0.56%,0.00%,2.26%,177,278
251109,Guissona,33.04%,87.66%,5.19%,0.79%,3.04%,0.62%,2.71%,1774,5369
251116,Guixers,64.75%,94.94%,0.00%,0.00%,0.00%,0.00%,5.06%,79,122
251121,Ivars de Noguera,58.15%,83.60%,8.47%,1.59%,2.12%,2.65%,1.59%,189,325
251137,Ivars d'Urgell,61.65%,89.52%,3.57%,1.15%,2.65%,1.27%,1.84%,868,1408
251142,Ivorra,70.27%,98.72%,0.00%,1.28%,0.00%,0.00%,0.00%,78,111
251155,Isona i Conca Dellà,58.41%,89.17%,3.67%,1.47%,1.28%,1.10%,3.30%,545,933
251180,Juncosa,60.49%,84.90%,4.90%,0.82%,3.27%,0.82%,5.31%,245,405
251193,Juneda,55.06%,90.14%,4.62%,1.60%,1.73%,0.80%,1.11%,1622,2946
251207,Lleida,32.99%,80.63%,9.76%,1.08%,4.89%,0.61%,3.03%,38417,116437
251214,Les,20.31%,68.45%,10.71%,1.19%,8.93%,3.57%,7.14%,168,827
251229,Linyola,59.32%,89.07%,4.25%,1.90%,1.90%,0.99%,1.90%,1317,2220
251235,Lladorre,45.85%,90.43%,4.26%,2.13%,2.13%,0.00%,1.06%,94,205
251240,Lladurs,52.38%,85.23%,9.09%,0.00%,1.14%,1.14%,3.41%,88,168
251253,Llardecans,67.61%,91.00%,3.86%,0.96%,1.61%,0.96%,1.61%,311,460
251266,Llavorsí,50.16%,85.44%,9.49%,0.00%,2.53%,0.00%,2.53%,158,315
251272,Lles de Cerdanya,59.32%,92.86%,2.14%,1.43%,0.71%,0.00%,2.86%,140,236
251288,Llimiana,42.28%,92.06%,1.59%,1.59%,1.59%,0.00%,3.17%,63,149
251291,Llobera,70.72%,94.53%,2.34%,1.56%,0.00%,1.56%,0.00%,128,181
251305,Maldà,67.77%,91.61%,0.70%,2.10%,2.10%,0.70%,2.80%,143,211
251312,Massalcoreig,50.68%,84.23%,4.62%,2.69%,1.15%,2.31%,5.00%,260,513
251327,Massoteres,57.59%,89.01%,4.40%,0.00%,2.20%,0.00%,4.40%,91,158
251333,Maials,60.85%,90.25%,2.73%,0.78%,1.17%,1.17%,3.90%,513,843
251348,Menàrguens,52.95%,87.89%,4.60%,2.66%,3.15%,0.73%,0.97%,413,780
251351,Miralcamp,59.46%,88.73%,3.99%,0.86%,2.71%,1.00%,2.71%,701,1179
251364,Molsosa. la,69.79%,88.06%,2.99%,1.49%,4.48%,1.49%,1.49%,67,96
251370,Mollerussa,38.39%,88.70%,4.90%,0.82%,2.54%,0.89%,2.15%,4609,12007
251386,Montgai,61.71%,90.05%,4.45%,0.79%,2.36%,0.79%,1.57%,382,619
251399,Montellà i Martinet,50.26%,83.62%,6.83%,0.68%,3.07%,1.37%,4.44%,293,583
251403,Montferrer i Castellbò,44.86%,89.95%,3.61%,0.77%,2.84%,0.77%,2.06%,388,865
251410,Montoliu de Segarra,48.59%,87.21%,2.33%,5.81%,1.16%,0.00%,3.49%,86,177
251425,Montoliu de Lleida,56.82%,90.80%,3.60%,2.40%,2.00%,0.40%,0.80%,250,440
251431,Montornès de Segarra,53.76%,88.00%,2.00%,0.00%,0.00%,2.00%,8.00%,50,93
251459,Nalec,52.00%,92.31%,1.92%,1.92%,0.00%,3.85%,0.00%,52,100
251462,Navès,62.33%,94.96%,1.44%,0.00%,0.00%,0.72%,2.88%,139,223
251484,Odèn,48.22%,89.34%,5.74%,2.46%,1.64%,0.00%,0.82%,122,253
251497,Oliana,56.99%,88.89%,3.25%,1.36%,1.89%,1.57%,3.04%,954,1674
251500,Oliola,49.76%,92.23%,1.94%,1.94%,0.00%,2.91%,0.97%,103,207
251517,Olius,59.31%,88.65%,4.35%,1.21%,2.66%,1.21%,1.93%,414,698
251522,Oluges. les,49.02%,90.67%,6.67%,1.33%,0.00%,0.00%,1.33%,75,153
251538,Omellons. els,47.44%,88.24%,4.90%,2.94%,1.96%,0.00%,1.96%,102,215
251543,Omells de na Gaia. els,65.89%,96.47%,1.18%,1.18%,0.00%,0.00%,1.18%,85,129
251556,Organyà,54.92%,85.12%,3.95%,0.93%,3.02%,1.63%,5.35%,430,783
251569,Os de Balaguer,54.26%,91.48%,4.04%,0.67%,2.24%,0.22%,1.35%,446,822
251575,Ossó de Sió,60.44%,88.18%,4.55%,1.82%,3.64%,0.91%,0.91%,110,182
251581,Palau d'Anglesola. el,63.07%,86.57%,4.57%,1.58%,3.86%,0.44%,2.99%,1139,1806
251615,Conca de Dalt,49.24%,93.85%,3.59%,0.51%,1.03%,0.00%,1.03%,195,396
251636,Coma i la Pedra. la,58.33%,92.86%,2.14%,1.43%,0.71%,0.71%,2.14%,140,240
251641,Penelles,60.65%,90.32%,3.23%,1.08%,1.43%,1.08%,2.87%,279,460
251654,Peramola,58.88%,86.24%,3.17%,1.06%,3.17%,0.53%,5.82%,189,321
251667,Pinell de Solsonès,62.03%,93.10%,2.59%,0.86%,0.00%,1.72%,1.72%,116,187
251673,Pinós,58.50%,90.54%,7.43%,1.35%,0.00%,0.00%,0.68%,148,253
251689,Poal. el,62.74%,86.55%,5.88%,0.56%,4.20%,0.56%,2.24%,357,569
251692,Pobla de Cérvoles. la,66.02%,88.24%,3.68%,3.68%,1.47%,0.00%,2.94%,136,206
251706,Bellaguarda,64.81%,86.56%,2.69%,2.15%,3.23%,1.61%,3.76%,186,287
251713,Pobla de Segur. la,55.07%,89.24%,5.17%,0.76%,1.79%,0.48%,2.55%,1450,2633
251728,Ponts,58.61%,88.58%,3.58%,1.37%,1.98%,1.60%,2.89%,1314,2242
251734,Pont de Suert. el,34.60%,75.10%,14.46%,0.70%,5.29%,0.56%,3.89%,719,2078
251749,Portella. la,52.24%,87.43%,4.86%,1.14%,2.00%,0.57%,4.00%,350,670
251752,Prats i Sansor,42.86%,89.52%,0.95%,0.00%,5.71%,1.90%,1.90%,105,245
251765,Preixana,64.07%,89.13%,3.48%,0.87%,2.61%,2.17%,1.74%,230,359
251771,Preixens,56.54%,90.39%,2.62%,0.44%,2.62%,0.87%,3.06%,229,405
251790,Prullans,57.58%,92.11%,4.39%,0.88%,0.00%,0.88%,1.75%,114,198
251804,Puiggròs,59.52%,94.67%,1.33%,1.33%,0.00%,0.00%,2.67%,150,252
251811,Puigverd d'Agramunt,53.33%,77.34%,9.38%,3.91%,4.69%,2.34%,2.34%,128,240
251826,Puigverd de Lleida,50.68%,83.31%,6.18%,1.00%,6.01%,2.00%,1.50%,599,1182
251832,Rialp,44.74%,85.10%,7.45%,0.78%,1.96%,2.35%,2.35%,255,570
251850,Ribera d'Urgellet,44.51%,85.15%,6.16%,1.40%,1.40%,1.96%,3.92%,357,802
251863,Riner,58.85%,90.91%,3.50%,1.40%,0.70%,2.80%,0.70%,143,243
251898,Rosselló,45.52%,80.23%,8.89%,1.22%,4.62%,1.05%,4.01%,1148,2522
251902,Salàs de Pallars,51.06%,89.94%,4.73%,0.59%,1.78%,1.78%,1.18%,169,331
251919,Sanaüja,60.36%,91.42%,3.86%,0.86%,1.29%,0.43%,2.15%,233,386
251924,Sant Guim de Freixenet,54.47%,87.11%,5.66%,1.37%,2.73%,0.78%,2.34%,512,940
251930,Sant Llorenç de Morunys,63.44%,90.91%,4.18%,1.27%,1.27%,0.55%,1.82%,550,867
251945,Sant Ramon,59.75%,88.65%,2.13%,2.84%,1.77%,2.84%,1.77%,282,472
251961,Sant Esteve de la Sarga,30.08%,91.89%,0.00%,0.00%,0.00%,2.70%,5.41%,37,123
251977,Sant Guim de la Plana,64.15%,98.04%,0.98%,0.98%,0.00%,0.00%,0.00%,102,159
252000,Sarroca de Lleida,66.39%,88.07%,2.06%,1.23%,0.82%,0.41%,7.41%,243,366
252017,Sarroca de Bellera,43.44%,96.23%,0.00%,0.00%,0.00%,0.00%,3.77%,53,122
252022,Senterada,49.61%,84.38%,9.38%,0.00%,0.00%,1.56%,4.69%,64,129
252038,Seu d'Urgell. la,40.57%,83.57%,8.19%,1.68%,3.23%,0.68%,2.64%,4235,10439
252043,Seròs,54.51%,82.79%,6.93%,1.23%,2.79%,2.01%,4.25%,895,1642
252056,Sidamon,55.34%,80.71%,9.20%,0.30%,4.15%,0.89%,4.75%,337,609
252069,Soleràs. el,72.76%,92.51%,1.76%,1.76%,0.44%,1.32%,2.20%,227,312
252075,Solsona,51.44%,88.93%,4.81%,0.90%,1.98%,0.90%,2.47%,3884,7551
252081,Soriguera,54.52%,87.29%,7.73%,1.66%,2.76%,0.00%,0.55%,181,332
252094,Sort,48.07%,87.43%,4.63%,1.21%,1.87%,0.77%,4.08%,907,1887
252108,Soses,51.33%,89.27%,5.96%,0.66%,1.72%,0.26%,2.12%,755,1471
252115,Sudanell,54.52%,86.92%,4.91%,2.57%,3.04%,0.47%,2.10%,428,785
252120,Sunyer,64.39%,90.59%,2.94%,0.59%,1.18%,1.76%,2.94%,170,264
252154,Talarn,45.65%,80.35%,9.25%,1.16%,2.89%,0.00%,6.36%,173,379
252167,Talavera,59.84%,86.30%,10.27%,0.00%,0.68%,0.68%,2.05%,146,244
252173,Tàrrega,46.41%,89.17%,5.10%,0.93%,2.35%,0.53%,1.93%,6259,13486
252189,Tarrés,60.42%,94.83%,1.72%,0.00%,1.72%,1.72%,0.00%,58,96
252192,Tarroja de Segarra,65.58%,95.05%,4.95%,0.00%,0.00%,0.00%,0.00%,101,154
252206,Térmens,51.65%,89.05%,4.13%,1.42%,2.56%,1.28%,1.56%,703,1361
252213,Tírvia,45.45%,89.23%,4.62%,0.00%,1.54%,0.00%,4.62%,65,143
252228,Tiurana,33.82%,91.30%,0.00%,0.00%,0.00%,0.00%,8.70%,23,68
252234,Torà,61.33%,90.16%,4.02%,1.64%,0.89%,0.30%,2.98%,671,1094
252249,Torms. els,71.74%,89.90%,1.01%,2.02%,4.04%,1.01%,2.02%,99,138
252252,Tornabous,52.38%,92.60%,3.82%,1.43%,0.72%,0.48%,0.95%,419,800
252265,Torrebesses,64.31%,90.17%,2.31%,0.00%,1.16%,2.31%,4.05%,173,269
252271,Torre de Cabdella. la,38.21%,92.42%,2.65%,2.27%,0.76%,1.14%,0.76%,264,691
252287,Torrefarrera,46.95%,83.97%,8.23%,0.80%,2.91%,1.30%,2.78%,1616,3442
252304,Torregrossa,50.86%,84.49%,6.84%,1.63%,3.27%,1.53%,2.24%,980,1927
252311,Torrelameu,50.85%,87.27%,2.42%,1.82%,2.42%,1.82%,4.24%,330,649
252326,Torres de Segre,43.73%,83.84%,7.85%,1.64%,3.04%,0.94%,2.69%,854,1953
252332,Torre-serona,51.90%,78.66%,10.37%,1.83%,5.49%,1.22%,2.44%,164,316
252347,Tremp,43.50%,87.77%,5.23%,0.91%,2.68%,0.86%,2.55%,2314,5320
252385,Vallbona de les Monges,58.82%,86.43%,4.29%,2.14%,1.43%,2.14%,3.57%,140,238
252398,Valls de Valira. les,29.53%,94.42%,2.15%,0.86%,1.29%,0.00%,1.29%,233,789
252402,Vallfogona de Balaguer,50.00%,85.28%,7.49%,0.76%,2.41%,1.02%,3.05%,788,1576
252424,Verdú,58.01%,87.57%,4.54%,0.99%,2.17%,1.58%,3.16%,507,874
252430,Vielha e Mijaran,17.96%,62.37%,15.77%,2.39%,10.87%,1.08%,7.53%,837,4660
252445,Vilagrassa,61.45%,85.88%,6.27%,0.78%,2.75%,0.39%,3.92%,255,415
252458,Vilaller,33.58%,75.14%,12.97%,1.08%,5.95%,1.62%,3.24%,185,551
252477,Vilamòs,19.18%,67.86%,17.86%,3.57%,7.14%,0.00%,3.57%,28,146
252483,Vilanova de Bellpuig,69.90%,95.85%,1.86%,0.57%,1.29%,0.14%,0.29%,699,1000
252496,Vilanova de l'Aguda,57.14%,91.67%,4.17%,0.83%,0.00%,0.83%,2.50%,120,210
252509,Vilanova de Meià,61.56%,91.27%,2.18%,0.87%,0.44%,3.49%,1.75%,229,372
252516,Vilanova de Segrià,54.60%,90.87%,2.81%,1.41%,2.58%,0.23%,2.11%,427,782
252521,Vila-sana,60.23%,84.53%,6.08%,1.93%,5.25%,1.38%,0.83%,362,601
252537,Vilosell. el,59.34%,84.26%,4.63%,1.85%,3.70%,0.00%,5.56%,108,182
252542,Vilanova de la Barca,42.96%,87.97%,4.01%,1.89%,1.42%,1.18%,3.54%,424,987
252555,Vinaixa,58.30%,87.80%,4.07%,2.71%,2.37%,0.68%,2.37%,295,506
259010,Vall de Cardós,52.75%,90.11%,3.30%,1.10%,2.75%,0.00%,2.75%,182,345
259025,Sant Martí de Riucorb,61.84%,89.63%,4.79%,1.86%,0.80%,0.80%,2.13%,376,608
259031,Guingueta d'Àneu. la,50.00%,96.48%,0.70%,0.70%,0.70%,1.41%,0.00%,142,284
259046,Castell de Mur,56.00%,88.10%,1.19%,2.38%,1.19%,2.38%,4.76%,84,150
259059,Ribera d'Ondara,66.13%,82.52%,4.88%,3.25%,3.66%,1.22%,4.47%,246,372
259062,Valls d'Aguilar. les,31.80%,90.00%,4.44%,1.11%,1.11%,1.11%,2.22%,90,283
259078,Torrefeta i Florejacs,56.04%,89.54%,3.59%,2.29%,0.00%,1.31%,3.27%,306,546
259084,Fígols i Alinyà,56.12%,92.48%,3.01%,0.75%,0.00%,2.26%,1.50%,133,237
259097,Vansa i Fórnols. la,41.05%,89.74%,3.85%,1.28%,1.28%,2.56%,1.28%,78,190
259101,Josa i Tuixén,40.46%,96.23%,0.00%,0.00%,0.00%,1.89%,1.89%,53,131
259118,Plans de Sió. els,62.34%,93.29%,4.03%,0.67%,0.67%,0.34%,1.01%,298,478
259123,Gimenells i el Pla de la Font,37.99%,65.95%,12.43%,3.51%,8.11%,0.27%,9.73%,370,974
259139,Riu de Cerdanya,50.48%,96.23%,1.89%,0.00%,1.89%,0.00%,0.00%,53,105
430017,Aiguamúrcia,48.41%,90.81%,2.36%,0.00%,0.79%,2.10%,3.94%,381,787
430022,Albinyana,26.93%,81.40%,7.21%,2.09%,5.50%,0.38%,3.42%,527,1957
430038,Albiol. l',37.57%,83.45%,7.19%,0.72%,4.32%,0.00%,4.32%,139,370
430043,Alcanar,35.63%,86.53%,4.92%,1.29%,3.25%,0.98%,3.03%,3171,8899
430056,Alcover,44.08%,85.48%,6.18%,1.79%,1.84%,0.76%,3.95%,1846,4188
430069,Aldover,42.01%,84.79%,3.38%,1.13%,7.61%,1.41%,1.69%,355,845
430075,Aleixar. l',59.33%,85.45%,4.69%,1.41%,4.93%,0.94%,2.58%,426,718
430081,Alfara de Carles,30.26%,78.10%,5.71%,3.81%,2.86%,1.90%,7.62%,105,347
430094,Alforja,48.65%,88.10%,5.30%,1.16%,2.59%,0.78%,2.07%,773,1589
430108,Alió,60.83%,88.13%,3.20%,0.46%,5.02%,0.91%,2.28%,219,360
430115,Almoster,61.12%,90.43%,4.78%,0.87%,2.61%,0.43%,0.87%,690,1129
430120,Altafulla,38.75%,81.68%,9.35%,1.16%,4.45%,0.71%,2.65%,1550,4000
430136,Ametlla de Mar. l',35.72%,87.77%,5.00%,1.21%,2.41%,0.65%,2.97%,2322,6501
430141,Amposta,39.40%,84.86%,6.66%,0.74%,4.03%,0.66%,3.05%,7016,17805
430154,Arbolí,55.77%,94.83%,0.00%,1.72%,0.00%,1.72%,1.72%,58,104
430167,Arboç. l',29.80%,80.18%,9.45%,0.53%,5.56%,0.30%,3.96%,1312,4403
430173,Argentera. l',60.56%,89.53%,1.16%,1.16%,4.65%,0.00%,3.49%,86,142
430189,Arnes,67.44%,84.93%,6.16%,2.05%,4.11%,0.68%,2.05%,292,433
430192,Ascó,45.04%,87.10%,3.64%,0.91%,3.79%,1.21%,3.34%,659,1463
430206,Banyeres del Penedès,33.46%,77.10%,10.02%,1.36%,5.45%,0.25%,5.82%,808,2415
430213,Barberà de la Conca,47.43%,89.62%,4.25%,0.94%,3.30%,0.00%,1.89%,212,447
430228,Batea,42.50%,85.06%,6.78%,1.38%,4.70%,0.41%,1.66%,723,1701
430234,Bellmunt del Priorat,59.93%,81.93%,9.64%,1.81%,0.00%,0.00%,6.63%,166,277
430249,Bellvei,30.93%,76.15%,10.69%,1.15%,7.06%,0.57%,4.39%,524,1694
430252,Benifallet,54.29%,85.60%,5.26%,1.66%,3.88%,1.11%,2.49%,361,665
430265,Benissanet,49.73%,89.91%,3.06%,1.44%,1.98%,0.54%,3.06%,555,1116
430271,Bisbal de Falset. la,72.68%,90.07%,1.42%,2.13%,2.13%,2.13%,2.13%,141,194
430287,Bisbal del Penedès. la,35.41%,84.47%,4.47%,0.29%,5.53%,0.39%,4.85%,1030,2909
430290,Blancafort,69.40%,90.55%,2.76%,1.57%,0.79%,0.00%,4.33%,254,366
430304,Bonastre,39.52%,84.98%,7.51%,1.41%,3.29%,0.94%,1.88%,213,539
430311,Borges del Camp. les,55.56%,88.88%,3.92%,1.27%,2.33%,0.53%,3.07%,944,1699
430326,Bot,55.33%,84.04%,5.12%,1.20%,4.52%,2.41%,2.71%,332,600
430332,Botarell,49.22%,86.91%,6.32%,1.35%,3.84%,0.45%,1.13%,443,900
430347,Bràfim,56.61%,85.98%,3.74%,0.62%,4.05%,1.25%,4.36%,321,567
430350,Cabacés,67.81%,86.36%,3.54%,6.06%,2.53%,0.51%,1.01%,198,292
430363,Cabra del Camp,34.57%,92.94%,3.07%,0.00%,1.53%,0.31%,2.15%,326,943
430379,Calafell,22.90%,79.63%,9.19%,1.24%,5.29%,0.60%,4.05%,4669,20387
430385,Cambrils,27.04%,79.27%,8.86%,1.30%,5.97%,0.58%,4.01%,7449,27543
430398,Capafonts,59.63%,95.38%,0.00%,4.62%,0.00%,0.00%,0.00%,65,109
430402,Capçanes,71.35%,94.32%,3.79%,0.76%,0.00%,0.00%,1.14%,264,370
430419,Caseres,42.91%,69.81%,14.15%,3.77%,4.72%,0.94%,6.60%,106,247
430424,Castellvell del Camp,54.38%,87.27%,5.70%,0.58%,3.47%,0.58%,2.40%,1210,2225
430430,Catllar. el,36.62%,81.07%,9.06%,0.97%,5.10%,0.73%,3.07%,1236,3375
430445,Sénia. la,34.11%,75.31%,9.33%,1.70%,6.69%,0.82%,6.16%,1705,4998
430458,Colldejou,71.61%,87.39%,4.50%,1.80%,0.90%,0.00%,5.41%,111,155
430461,Conesa,50.00%,94.74%,1.75%,0.00%,0.00%,0.00%,3.51%,57,114
430477,Constantí,23.61%,76.81%,7.00%,1.81%,7.70%,0.94%,5.74%,1272,5387
430483,Corbera d'Ebre,47.29%,83.80%,5.62%,2.81%,4.10%,0.86%,2.81%,463,979
430496,Cornudella de Montsant,64.75%,94.33%,1.24%,0.35%,1.06%,0.35%,2.66%,564,871
430509,Creixell,24.85%,78.87%,9.15%,1.41%,5.63%,0.56%,4.37%,710,2857
430516,Cunit,20.30%,72.50%,11.51%,0.92%,13.54%,0.67%,0.87%,2076,10229
430521,Xerta,53.75%,84.67%,3.75%,1.70%,4.26%,1.70%,3.92%,587,1092
430537,Duesaigües,63.35%,90.71%,2.86%,0.00%,1.43%,0.00%,5.00%,140,221
430542,Espluga de Francolí. l',57.45%,90.07%,3.57%,0.84%,1.94%,1.42%,2.15%,1904,3314
430555,Falset,59.17%,92.88%,3.38%,0.49%,1.41%,0.35%,1.48%,1419,2398
430568,Fatarella. la,59.07%,86.89%,4.31%,1.08%,1.62%,1.80%,4.31%,557,943
430574,Febró. la,40.43%,94.74%,0.00%,5.26%,0.00%,0.00%,0.00%,19,47
430580,Figuera. la,64.08%,86.36%,3.03%,4.55%,0.00%,0.00%,6.06%,66,103
430593,Figuerola del Camp,70.32%,90.45%,4.02%,1.51%,2.01%,0.00%,2.01%,199,283
430607,Flix,55.23%,89.86%,4.53%,0.62%,2.16%,0.77%,2.06%,1942,3516
430614,Forès,34.69%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17,49
430629,Freginals,39.44%,76.47%,8.82%,0.59%,2.35%,2.35%,9.41%,170,431
430635,Galera. la,36.03%,81.89%,6.30%,0.79%,5.12%,0.79%,5.12%,254,705
430640,Gandesa,43.55%,86.30%,4.74%,2.15%,3.27%,0.60%,2.93%,1161,2666
430653,Garcia,54.75%,90.41%,2.95%,1.11%,2.21%,0.74%,2.58%,271,495
430666,Garidells. els,54.82%,82.42%,5.49%,0.00%,12.09%,0.00%,0.00%,91,166
430672,Ginestar,55.11%,87.87%,4.58%,2.06%,1.37%,1.14%,2.97%,437,793
430688,Godall,33.75%,73.61%,7.87%,0.46%,8.80%,1.39%,7.87%,216,640
430691,Gratallops,56.95%,84.25%,1.57%,0.79%,3.94%,0.79%,8.66%,127,223
430705,Guiamets. els,71.06%,88.66%,4.64%,1.55%,2.58%,0.00%,2.58%,194,273
430712,Horta de Sant Joan,39.58%,90.39%,3.20%,0.69%,2.97%,0.23%,2.52%,437,1104
430727,Lloar. el,68.04%,87.88%,3.03%,1.52%,4.55%,1.52%,1.52%,66,97
430733,Llorac,47.06%,85.42%,8.33%,6.25%,0.00%,0.00%,0.00%,48,102
430748,Llorenç del Penedès,54.58%,85.98%,5.92%,1.58%,2.67%,0.69%,3.16%,1013,1856
430751,Margalef,67.65%,88.41%,10.14%,0.00%,0.00%,0.00%,1.45%,69,102
430764,Marçà,68.91%,91.36%,3.62%,1.67%,2.51%,0.84%,0.00%,359,521
430770,Mas de Barberans,30.81%,64.57%,17.14%,4.57%,10.29%,1.14%,2.29%,175,568
430786,Masdenverge,47.63%,81.82%,6.13%,0.85%,6.34%,1.27%,3.59%,473,993
430799,Masllorenç,55.36%,92.34%,3.23%,1.61%,0.40%,0.81%,1.61%,248,448
430803,Masó. la,67.73%,88.24%,7.65%,0.59%,2.35%,0.00%,1.18%,170,251
430810,Maspujols,57.21%,91.88%,3.36%,0.56%,2.80%,0.56%,0.84%,357,624
430825,Masroig. el,55.67%,87.78%,3.70%,0.37%,1.85%,1.85%,4.44%,270,485
430831,Milà. el,50.69%,79.45%,9.59%,0.00%,4.11%,2.74%,4.11%,73,144
430846,Miravet,61.07%,87.10%,5.84%,0.73%,2.92%,1.22%,2.19%,411,673
430859,Molar. el,58.43%,90.38%,4.49%,0.64%,1.28%,0.00%,3.21%,156,267
430862,Montblanc,53.71%,88.29%,4.20%,0.93%,2.31%,0.30%,3.96%,3331,6202
430884,Montbrió del Camp,49.93%,87.64%,5.13%,0.73%,3.21%,0.37%,2.93%,1092,2187
430897,Montferri,40.07%,88.03%,2.56%,0.00%,7.69%,1.71%,0.00%,117,292
430901,Montmell. el,18.95%,81.03%,7.33%,2.16%,6.47%,0.43%,2.59%,232,1224
430918,Mont-ral,41.22%,85.25%,11.48%,0.00%,1.64%,0.00%,1.64%,61,148
430923,Mont-roig del Camp,20.19%,82.53%,7.09%,0.69%,5.72%,0.41%,3.57%,2186,10829
430939,Móra d'Ebre,45.53%,85.06%,6.34%,0.95%,3.97%,0.80%,2.88%,2115,4645
430944,Móra la Nova,46.84%,85.73%,5.04%,1.78%,3.34%,0.62%,3.49%,1289,2752
430957,Morell. el,39.75%,82.33%,6.57%,1.33%,6.13%,0.62%,3.02%,1126,2833
430960,Morera de Montsant. la,46.04%,93.75%,1.56%,3.13%,1.56%,0.00%,0.00%,64,139
430976,Nou de Gaià. la,57.47%,84.40%,8.00%,3.60%,0.80%,2.00%,1.20%,250,435
430982,Nulles,54.10%,91.94%,2.84%,0.95%,3.32%,0.47%,0.47%,211,390
430995,Palma d'Ebre. la,68.88%,85.77%,7.95%,2.09%,2.93%,1.26%,0.00%,239,347
431009,Pallaresos. els,39.31%,74.60%,12.51%,0.61%,9.06%,0.15%,3.07%,1303,3315
431016,Passanant i Belltall,60.96%,89.89%,5.62%,0.00%,2.25%,0.00%,2.25%,89,146
431021,Paüls,48.77%,84.50%,7.36%,1.94%,3.10%,0.39%,2.71%,258,529
431037,Perafort,37.45%,74.86%,12.43%,0.81%,6.49%,1.35%,4.05%,370,988
431042,Perelló. el,51.57%,92.42%,2.50%,0.86%,1.64%,1.17%,1.41%,1280,2482
431055,Piles. les,58.66%,93.33%,4.76%,0.00%,0.00%,1.90%,0.00%,105,179
431068,Pinell de Brai. el,54.18%,82.49%,7.34%,1.88%,4.14%,0.38%,3.77%,531,980
431074,Pira,68.51%,89.71%,4.78%,0.37%,1.10%,0.74%,3.31%,272,397
431080,Pla de Santa Maria. el,51.48%,90.31%,3.07%,0.49%,2.67%,0.79%,2.67%,1011,1964
431093,Pobla de Mafumet. la,26.86%,69.25%,10.10%,1.46%,9.81%,1.46%,7.91%,683,2543
431107,Pobla de Massaluca. la,49.25%,83.64%,3.64%,1.21%,4.85%,1.82%,4.85%,165,335
431114,Pobla de Montornès. la,29.76%,75.21%,7.51%,1.56%,6.80%,0.57%,8.36%,706,2372
431129,Poboleda,67.18%,94.01%,3.23%,0.46%,0.46%,1.38%,0.46%,217,323
431135,Pont d'Armentera. el,55.53%,87.06%,5.24%,1.40%,1.75%,0.00%,4.55%,286,515
431140,Porrera,68.32%,89.27%,4.50%,2.08%,1.04%,0.35%,2.77%,289,423
431153,Pradell de la Teixeta,65.90%,92.11%,0.88%,0.00%,1.75%,0.00%,5.26%,114,173
431166,Prades,56.41%,90.85%,4.73%,1.58%,0.63%,1.26%,0.95%,317,562
431172,Prat de Comte,58.55%,91.01%,3.37%,0.00%,3.37%,1.12%,1.12%,89,152
431188,Pratdip,43.73%,89.81%,4.91%,0.00%,1.89%,0.00%,3.40%,265,606
431191,Puigpelat,41.78%,83.57%,8.22%,0.57%,5.67%,1.13%,0.85%,353,845
431205,Querol,24.73%,86.21%,3.45%,0.86%,2.59%,0.00%,6.90%,116,469
431212,Rasquera,57.85%,92.14%,2.14%,0.71%,1.90%,1.43%,1.67%,420,726
431227,Renau,46.23%,79.59%,8.16%,2.04%,10.20%,0.00%,0.00%,49,106
431233,Reus,32.50%,82.18%,8.25%,1.00%,4.77%,0.58%,3.21%,28234,86869
431248,Riba. la,61.25%,80.12%,5.72%,0.90%,3.31%,2.41%,7.53%,332,542
431251,Riba-roja d'Ebre,44.74%,73.50%,10.71%,1.88%,6.02%,1.50%,6.39%,532,1189
431264,Riera de Gaià. la,50.86%,85.08%,7.08%,1.38%,3.23%,0.31%,2.92%,650,1278
431270,Riudecanyes,54.06%,88.50%,7.02%,0.19%,1.95%,0.19%,2.14%,513,949
431286,Riudecols,50.55%,83.24%,7.75%,1.62%,3.78%,0.36%,3.24%,555,1098
431299,Riudoms,51.16%,87.26%,4.18%,1.26%,4.26%,0.56%,2.48%,2701,5279
431303,Rocafort de Queralt,63.91%,94.56%,1.36%,2.72%,0.00%,0.68%,0.68%,147,230
431310,Roda de Barà,20.92%,76.71%,11.06%,0.99%,5.13%,0.54%,5.58%,1112,5315
431325,Rodonyà,60.58%,89.56%,4.02%,0.40%,1.61%,0.80%,3.61%,249,411
431331,Roquetes,39.62%,83.92%,7.26%,1.03%,4.20%,0.59%,2.99%,2712,6845
431346,Rourell. el,53.52%,77.71%,8.00%,1.71%,9.14%,2.29%,1.14%,175,327
431359,Salomó,57.08%,90.91%,2.48%,1.24%,1.24%,2.48%,1.65%,242,424
431362,Sant Carles de la Ràpita,41.53%,87.48%,5.21%,1.71%,2.54%,0.39%,2.67%,5321,12813
431378,Sant Jaume dels Domenys,40.83%,85.19%,8.06%,0.59%,2.84%,0.24%,3.08%,844,2067
431384,Santa Bàrbara,38.81%,79.71%,7.37%,1.82%,6.18%,0.95%,3.96%,1262,3252
